,value.AgeGroup,value.Subject,value.StudyNo,value.PrimeInstruction,value.totalitems,value.correctitems,value.wrongitems,value.targetacc,value.rtrials,value.ptrials,value.btrials,value.utrials,value.rcorrecttrials,value.pcorrecttrials,value.bcorrecttrials,value.ucorrecttrials,value.racc,value.pacc,value.bacc,value.uacc,value.rmcq,value.pmcq,value.bmcq,value.umcq,value.r_know,value.r_dontknow,value.r_other,value.r_TOT,value.p_know,value.p_dontknow,value.p_other,value.p_TOT,value.b_know,value.b_dontknow,value.b_other,value.b_TOT,value.u_know,value.u_dontknow,value.u_other,value.u_TOT,value.correct_r,value.correct_p,value.correct_b,value.correct_u,value.wrong_r,value.wrong_p,value.wrong_b,value.wrong_u,value.wrong_r_r,value.wrong_r_p,value.wrong_r_b,value.wrong_r_u,value.wrong_r_x,value.wrong_p_r,value.wrong_p_p,value.wrong_p_b,value.wrong_p_u,value.wrong_p_x,value.wrong_b_r,value.wrong_b_p,value.wrong_b_b,value.wrong_b_u,value.wrong_b_x,value.wrong_u_r,value.wrong_u_p,value.wrong_u_b,value.wrong_u_u,value.wrong_u_x,value.prop_r_r,value.prop_r_p,value.prop_r_b,value.prop_r_u,value.prop_r_x,value.prop_p_r,value.prop_p_p,value.prop_p_b,value.prop_p_u,value.prop_p_x,value.prop_b_r,value.prop_b_p,value.prop_b_b,value.prop_b_u,value.prop_b_x,value.prop_u_r,value.prop_u_p,value.prop_u_b,value.prop_u_u,value.prop_u_x,value.know,value.dontknow,value.other,value.TOT,visible
21,Young,183,5,NotThePrime,100,26,74,0.26,25,25,25,25,5,8,10,3,0.2,0.32,0.4,0.12,0.76,0.84,0.96,0.72,15,6,4,0,17,5,3,0,16,7,2,0,12,9,4,0,19,21,24,18,6,4,1,7,0,0,6,0,0,1,0,3,0,0,1,0,0,0,0,5,0,2,0,0,0,0,1,0,0,0.25,0,0.75,0,0,1,0,0,0,0,0.714285714,0,0.285714286,0,0,60,27,13,0,FALSE
22,Young,184,5,NotThePrime,100,9,91,0.09,25,25,25,25,1,2,3,3,0.04,0.08,0.12,0.12,0.52,0.68,0.56,0.64,8,5,7,5,4,10,7,4,4,7,8,6,5,10,2,8,13,17,14,16,12,8,11,9,10,0,2,0,0,6,0,2,0,0,9,0,2,0,0,5,0,4,0,0,0.833333333,0,0.166666667,0,0,0.75,0,0.25,0,0,0.818181818,0,0.181818182,0,0,0.555555556,0,0.444444444,0,0,21,32,24,23,FALSE
23,Young,185,5,NotThePrime,100,41,59,0.41,25,25,25,25,7,18,4,12,0.28,0.72,0.16,0.48,0.88,0.96,0.76,0.76,12,1,0,12,20,2,0,3,10,1,1,13,15,5,1,4,22,24,19,19,3,1,6,6,1,0,2,0,0,1,0,0,0,0,3,1,1,1,0,2,0,4,0,0,0.333333333,0,0.666666667,0,0,1,0,0,0,0,0.5,0.166666667,0.166666667,0.166666667,0,0.333333333,0,0.666666667,0,0,57,9,2,32,FALSE
24,Young,186,5,NotThePrime,100,35,65,0.35,25,25,25,25,11,11,8,5,0.44,0.44,0.32,0.2,0.6,0.68,0.8,0.68,13,11,1,0,16,8,0,1,11,10,1,3,6,17,0,2,15,17,20,17,10,8,5,8,7,0,3,0,0,5,1,2,0,0,4,0,1,0,0,6,0,2,0,0,0.7,0,0.3,0,0,0.625,0.125,0.25,0,0,0.8,0,0.2,0,0,0.75,0,0.25,0,0,46,46,2,6,FALSE
25,Young,187,5,NotThePrime,100,13,87,0.13,25,25,25,25,5,3,4,1,0.2,0.12,0.16,0.04,0.6,0.84,0.72,0.76,9,6,4,6,8,8,6,3,11,7,2,5,5,12,2,6,15,21,18,19,10,4,7,6,1,0,9,0,0,2,0,2,0,0,6,0,1,0,0,5,0,1,0,0,0.1,0,0.9,0,0,0.5,0,0.5,0,0,0.857142857,0,0.142857143,0,0,0.833333333,0,0.166666667,0,0,33,33,14,20,FALSE
26,Young,188,5,NotThePrime,100,17,83,0.17,25,25,25,25,0,6,5,6,0,0.24,0.2,0.24,0.8,0.8,0.72,0.64,2,10,9,4,4,10,9,2,6,7,8,4,3,11,7,4,20,20,18,16,5,5,7,9,3,0,2,0,0,2,1,2,0,0,3,0,3,1,0,4,1,4,0,0,0.6,0,0.4,0,0,0.4,0.2,0.4,0,0,0.428571429,0,0.428571429,0.142857143,0,0.444444444,0.111111111,0.444444444,0,0,15,38,33,14,FALSE
27,Young,189,5,NotThePrime,100,28,72,0.28,25,25,25,25,2,12,9,5,0.08,0.48,0.36,0.2,0.88,0.88,0.88,0.64,4,6,4,11,12,3,5,5,8,4,7,6,7,7,8,3,22,22,22,16,3,3,3,9,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,6,0,3,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0.666666667,0,0.333333333,0,0,31,20,24,25,FALSE
28,Young,190,5,NotThePrime,100,39,61,0.39,25,25,25,25,11,13,9,6,0.44,0.52,0.36,0.24,0.8,0.88,0.88,0.84,11,8,2,4,15,3,4,3,11,9,2,3,9,4,7,5,20,22,22,21,5,3,3,4,3,0,2,0,0,1,0,2,0,0,2,0,1,0,0,3,0,1,0,0,0.6,0,0.4,0,0,0.333333333,0,0.666666667,0,0,0.666666667,0,0.333333333,0,0,0.75,0,0.25,0,0,46,24,15,15,FALSE
29,Young,191,5,NotThePrime,100,25,75,0.25,25,25,25,25,11,3,7,4,0.44,0.12,0.28,0.16,0.64,0.4,0.84,0.68,12,5,4,4,4,10,0,11,7,8,0,10,4,12,1,8,16,10,21,17,9,15,4,8,0,2,7,0,0,3,2,10,0,0,4,0,0,0,0,3,1,3,1,0,0,0.222222222,0.777777778,0,0,0.2,0.133333333,0.666666667,0,0,1,0,0,0,0,0.375,0.125,0.375,0.125,0,27,35,5,33,FALSE
30,Young,192,5,NotThePrime,100,39,61,0.39,25,25,25,25,4,12,11,12,0.16,0.48,0.44,0.48,0.88,0.92,0.88,0.84,7,11,6,1,12,7,2,4,14,6,3,2,8,8,4,5,22,23,22,21,3,2,3,4,1,0,2,0,0,1,0,1,0,0,2,0,1,0,0,2,0,2,0,0,0.333333333,0,0.666666667,0,0,0.5,0,0.5,0,0,0.666666667,0,0.333333333,0,0,0.5,0,0.5,0,0,41,32,15,12,FALSE
31,Young,193,5,NotThePrime,100,29,71,0.29,25,25,25,25,6,14,3,6,0.24,0.56,0.12,0.24,0.88,0.84,0.76,0.8,15,3,7,0,17,4,3,1,11,3,9,2,6,8,7,4,22,21,19,20,3,4,6,5,3,0,0,0,0,2,0,2,0,0,4,0,2,0,0,1,0,4,0,0,1,0,0,0,0,0.5,0,0.5,0,0,0.666666667,0,0.333333333,0,0,0.2,0,0.8,0,0,49,18,26,7,FALSE
32,Young,194,5,NotThePrime,100,56,44,0.56,25,25,25,25,12,20,15,9,0.48,0.8,0.6,0.36,0.92,1,0.96,0.92,13,2,5,5,20,1,1,3,17,0,2,6,11,1,6,7,23,25,24,23,2,0,1,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,0,0,0,61,4,14,21,FALSE
36,Young,198,5,NotThePrime,100,35,65,0.35,25,25,25,25,8,12,9,6,0.32,0.48,0.36,0.24,0.76,0.8,0.8,0.72,14,7,3,1,17,7,1,0,7,10,8,0,8,12,5,0,19,20,20,18,6,5,5,7,0,1,5,0,0,3,0,2,0,0,3,1,1,0,0,2,1,4,0,0,0,0.166666667,0.833333333,0,0,0.6,0,0.4,0,0,0.6,0.2,0.2,0,0,0.285714286,0.142857143,0.571428571,0,0,46,36,17,1,FALSE
37,Old,701,6,NotThePrime,100,25,75,0.25,25,25,25,25,3,10,5,7,0.12,0.4,0.2,0.28,0.64,0.72,0.84,0.52,14,7,2,2,13,8,1,3,11,10,0,4,12,10,1,2,16,18,21,13,9,7,4,12,8,0,1,0,0,1,2,2,0,2,2,1,1,0,0,4,1,4,0,3,0.888888889,0,0.111111111,0,0,0.142857143,0.285714286,0.285714286,0,0.285714286,0.5,0.25,0.25,0,0,0.333333333,0.083333333,0.333333333,0,0.25,50,35,4,11,FALSE
38,Old,702,6,NotThePrime,100,5,95,0.05,25,25,25,25,2,1,2,0,0.08,0.04,0.08,0,0.28,0.48,0.32,0.44,2,22,1,0,7,18,0,0,3,21,1,0,0,25,0,0,7,12,8,11,18,13,17,14,10,4,4,0,0,6,2,5,0,0,4,3,10,0,0,4,3,6,0,1,0.555555556,0.222222222,0.222222222,0,0,0.461538462,0.153846154,0.384615385,0,0,0.235294118,0.176470588,0.588235294,0,0,0.285714286,0.214285714,0.428571429,0,0.071428571,12,86,2,0,FALSE
39,Old,703,6,NotThePrime,100,17,83,0.17,25,25,25,25,7,5,4,1,0.28,0.2,0.16,0.04,0.64,0.68,0.64,0.64,14,10,0,1,10,13,0,2,7,17,0,1,2,16,1,6,16,17,16,16,9,8,9,9,6,0,1,0,2,3,3,1,0,1,4,0,3,0,2,3,0,2,0,4,0.666666667,0,0.111111111,0,0.222222222,0.375,0.375,0.125,0,0.125,0.444444444,0,0.333333333,0,0.222222222,0.333333333,0,0.222222222,0,0.444444444,33,56,1,10,FALSE
40,Old,704,6,NotThePrime,100,41,59,0.41,25,25,25,25,4,11,13,13,0.16,0.44,0.52,0.52,0.8,0.8,0.84,0.8,15,6,1,3,19,3,0,3,16,4,1,4,16,6,1,2,20,20,21,20,5,5,4,5,3,0,0,0,2,5,0,0,0,0,2,0,2,0,0,1,1,3,0,0,0.6,0,0,0,0.4,1,0,0,0,0,0.5,0,0.5,0,0,0.2,0.2,0.6,0,0,66,19,3,12,FALSE
41,Old,705,6,NotThePrime,100,23,77,0.23,25,25,25,25,4,12,2,5,0.16,0.48,0.08,0.2,0.92,0.88,0.92,0.88,11,12,0,2,14,11,0,0,8,15,0,2,11,13,0,1,23,22,23,22,2,3,2,3,2,0,0,0,0,1,0,2,0,0,1,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0.333333333,0,0.666666667,0,0,0.5,0,0,0,0.5,0.333333333,0,0.666666667,0,0,44,51,0,5,FALSE
42,Old,706,6,NotThePrime,100,19,81,0.19,25,25,25,25,5,8,4,2,0.2,0.32,0.16,0.08,0.84,0.76,0.72,0.76,7,18,0,0,13,12,0,0,10,15,0,0,9,16,0,0,21,19,18,19,4,6,7,6,2,0,2,0,0,3,0,3,0,0,3,0,4,0,0,2,0,2,1,1,0.5,0,0.5,0,0,0.5,0,0.5,0,0,0.428571429,0,0.571428571,0,0,0.333333333,0,0.333333333,0.166666667,0.166666667,39,61,0,0,FALSE
43,Old,707,6,NotThePrime,100,28,72,0.28,25,25,25,25,8,7,7,6,0.32,0.28,0.28,0.24,0.76,0.84,0.88,0.72,21,0,3,1,19,5,1,0,16,5,1,3,19,3,2,1,19,21,22,18,6,4,3,7,4,0,2,0,0,1,0,3,0,0,2,0,1,0,0,5,0,2,0,0,0.666666667,0,0.333333333,0,0,0.25,0,0.75,0,0,0.666666667,0,0.333333333,0,0,0.714285714,0,0.285714286,0,0,75,13,7,5,FALSE
44,Old,708,6,NotThePrime,100,19,81,0.19,25,25,25,25,3,4,5,7,0.12,0.16,0.2,0.28,0.6,0.52,0.68,0.68,9,12,4,0,8,14,2,1,10,10,5,0,10,12,3,0,15,13,17,17,10,12,8,8,6,0,4,0,0,9,1,0,0,2,3,0,4,0,1,3,0,4,1,0,0.6,0,0.4,0,0,0.75,0.083333333,0,0,0.166666667,0.375,0,0.5,0,0.125,0.375,0,0.5,0.125,0,37,48,14,1,FALSE
45,Old,709,6,NotThePrime,100,8,92,0.08,25,25,25,25,0,2,1,5,0,0.08,0.04,0.2,0.56,0.48,0.48,0.4,5,19,1,0,3,21,0,1,5,20,0,0,6,18,0,1,14,12,12,10,11,13,13,15,5,2,4,0,0,1,1,7,1,3,6,0,3,0,4,3,1,7,1,3,0.454545455,0.181818182,0.363636364,0,0,0.076923077,0.076923077,0.538461538,0.076923077,0.230769231,0.461538462,0,0.230769231,0,0.307692308,0.2,0.066666667,0.466666667,0.066666667,0.2,19,78,1,2,FALSE
46,Old,710,6,NotThePrime,100,8,92,0.08,25,25,25,25,2,5,1,0,0.08,0.2,0.04,0,0.44,0.56,0.56,0.76,2,23,0,0,5,20,0,0,3,22,0,0,1,23,0,1,11,14,14,19,14,11,11,6,9,1,2,0,2,5,1,4,0,1,5,0,6,0,0,4,0,2,0,0,0.642857143,0.071428571,0.142857143,0,0.142857143,0.454545455,0.090909091,0.363636364,0,0.090909091,0.454545455,0,0.545454545,0,0,0.666666667,0,0.333333333,0,0,11,88,0,1,FALSE
47,Old,712,6,NotThePrime,100,15,85,0.15,25,25,25,25,1,4,4,6,0.04,0.16,0.16,0.24,0.76,0.72,0.68,0.88,9,13,0,3,12,11,0,2,10,9,2,4,11,10,0,4,19,18,17,22,6,7,8,3,4,0,1,0,1,5,0,1,0,1,5,0,2,0,1,2,0,1,0,0,0.666666667,0,0.166666667,0,0.166666667,0.714285714,0,0.142857143,0,0.142857143,0.625,0,0.25,0,0.125,0.666666667,0,0.333333333,0,0,42,43,2,13,FALSE
48,Old,713,6,NotThePrime,100,7,93,0.07,25,25,25,25,0,3,1,3,0,0.12,0.04,0.12,0.48,0.48,0.56,0.52,10,11,0,4,11,14,0,0,14,10,1,0,10,15,0,0,12,12,14,13,13,13,11,12,5,1,7,0,0,9,0,1,2,1,7,0,4,0,0,5,1,2,2,2,0.384615385,0.076923077,0.538461538,0,0,0.692307692,0,0.076923077,0.153846154,0.076923077,0.636363636,0,0.363636364,0,0,0.416666667,0.083333333,0.166666667,0.166666667,0.166666667,45,50,1,4,FALSE
49,Old,714,6,NotThePrime,100,24,76,0.24,25,25,25,25,7,11,3,3,0.28,0.44,0.12,0.12,0.76,0.56,0.44,0.68,14,11,0,0,17,8,0,0,13,10,1,1,12,13,0,0,19,14,11,17,6,11,14,8,3,0,3,0,0,5,2,4,0,0,10,2,2,0,0,7,1,0,0,0,0.5,0,0.5,0,0,0.454545455,0.181818182,0.363636364,0,0,0.714285714,0.142857143,0.142857143,0,0,0.875,0.125,0,0,0,56,42,1,1,FALSE
50,Old,715,6,NotThePrime,100,13,87,0.13,25,25,25,25,5,1,4,3,0.2,0.04,0.16,0.12,0.52,0.48,0.6,0.48,17,3,3,2,11,9,4,1,10,7,4,4,9,8,5,3,13,12,15,12,12,13,10,13,9,0,3,0,0,8,1,4,0,0,5,0,5,0,0,8,0,5,0,0,0.75,0,0.25,0,0,0.615384615,0.076923077,0.307692308,0,0,0.5,0,0.5,0,0,0.615384615,0,0.384615385,0,0,47,27,16,10,FALSE
51,Old,716,6,NotThePrime,100,41,59,0.41,25,25,25,25,6,9,14,12,0.24,0.36,0.56,0.48,0.88,0.88,0.88,0.8,10,8,1,6,11,4,0,10,17,3,0,5,13,6,1,5,22,22,22,20,3,3,3,5,2,0,0,0,1,0,0,2,0,1,0,0,3,0,0,3,0,1,1,0,0.666666667,0,0,0,0.333333333,0,0,0.666666667,0,0.333333333,0,0,1,0,0,0.6,0,0.2,0.2,0,51,21,2,26,FALSE
52,Old,717,6,NotThePrime,100,30,70,0.3,25,25,25,25,7,9,3,11,0.28,0.36,0.12,0.44,0.88,0.92,0.92,0.88,19,5,0,1,15,8,1,1,17,7,0,1,20,5,0,0,22,23,23,22,3,2,2,3,1,0,0,0,2,0,0,2,0,0,1,0,1,0,0,2,0,1,0,0,0.333333333,0,0,0,0.666666667,0,0,1,0,0,0.5,0,0.5,0,0,0.666666667,0,0.333333333,0,0,71,25,1,3,FALSE
53,Old,718,6,NotThePrime,100,26,74,0.26,25,25,25,25,7,10,5,4,0.28,0.4,0.2,0.16,0.76,0.8,0.76,0.88,13,11,0,1,19,5,0,1,13,10,0,2,14,9,0,2,19,20,19,22,6,5,6,3,2,0,4,0,0,2,0,3,0,0,4,0,2,0,0,2,0,1,0,0,0.333333333,0,0.666666667,0,0,0.4,0,0.6,0,0,0.666666667,0,0.333333333,0,0,0.666666667,0,0.333333333,0,0,59,35,0,6,FALSE
54,Old,719,6,NotThePrime,100,36,64,0.36,25,25,25,25,8,7,13,8,0.32,0.28,0.52,0.32,0.96,0.84,0.96,0.92,10,5,0,10,11,6,0,8,16,2,0,7,9,9,2,5,24,21,24,23,1,4,1,2,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0.5,46,22,2,30,FALSE
55,Old,720,6,NotThePrime,100,4,96,0.04,25,25,25,25,1,1,2,0,0.04,0.04,0.08,0,0.56,0.6,0.64,0.52,8,17,0,0,7,17,1,0,9,16,0,0,4,19,1,1,14,15,16,13,11,10,9,12,6,0,3,0,2,7,1,1,0,1,3,0,2,0,4,2,0,6,0,4,0.545454545,0,0.272727273,0,0.181818182,0.7,0.1,0.1,0,0.1,0.333333333,0,0.222222222,0,0.444444444,0.166666667,0,0.5,0,0.333333333,28,69,2,1,FALSE
56,Old,721,6,NotThePrime,100,15,85,0.15,25,25,25,25,3,5,1,6,0.12,0.2,0.04,0.24,0.72,0.68,0.64,0.64,14,10,1,0,10,13,2,0,11,10,3,1,12,13,0,0,18,17,16,16,7,8,9,9,6,0,0,0,1,2,0,4,0,2,7,0,2,0,0,4,0,4,1,0,0.857142857,0,0,0,0.142857143,0.25,0,0.5,0,0.25,0.777777778,0,0.222222222,0,0,0.444444444,0,0.444444444,0.111111111,0,47,46,6,1,FALSE
57,Old,722,6,NotThePrime,100,10,90,0.1,25,25,25,25,3,5,2,0,0.12,0.2,0.08,0,0.56,0.64,0.56,0.64,10,5,3,7,11,11,1,2,8,6,4,7,9,6,5,5,14,16,14,16,11,9,11,9,5,0,6,0,0,5,1,3,0,0,7,1,3,0,0,3,2,3,0,1,0.454545455,0,0.545454545,0,0,0.555555556,0.111111111,0.333333333,0,0,0.636363636,0.090909091,0.272727273,0,0,0.333333333,0.222222222,0.333333333,0,0.111111111,38,28,13,21,FALSE
58,Old,723,6,NotThePrime,100,4,96,0.04,25,25,25,25,0,2,2,0,0,0.08,0.08,0,0.48,0.48,0.48,0.36,1,21,3,0,0,21,4,0,2,20,2,1,2,21,2,0,12,12,12,9,13,13,13,16,4,0,8,0,1,9,0,4,0,0,7,1,5,0,0,8,1,5,1,1,0.307692308,0,0.615384615,0,0.076923077,0.692307692,0,0.307692308,0,0,0.538461538,0.076923077,0.384615385,0,0,0.5,0.0625,0.3125,0.0625,0.0625,5,83,11,1,FALSE
59,Old,724,6,NotThePrime,100,7,93,0.07,25,25,25,25,2,1,4,0,0.08,0.04,0.16,0,0.48,0.28,0.52,0.4,6,17,1,1,4,20,1,0,8,17,0,0,2,22,1,0,12,7,13,10,13,18,12,15,6,1,4,0,2,6,4,4,0,4,4,1,6,1,0,12,0,2,1,0,0.461538462,0.076923077,0.307692308,0,0.153846154,0.333333333,0.222222222,0.222222222,0,0.222222222,0.333333333,0.083333333,0.5,0.083333333,0,0.8,0,0.133333333,0.066666667,0,20,76,3,1,FALSE
60,Old,726,6,NotThePrime,100,9,91,0.09,25,25,25,25,3,3,2,1,0.12,0.12,0.08,0.04,0.68,0.8,0.64,0.76,4,21,0,0,7,18,0,0,6,19,0,0,4,20,1,0,17,20,16,19,8,5,9,6,5,1,2,0,0,1,1,3,0,0,4,0,5,0,0,6,0,0,0,0,0.625,0.125,0.25,0,0,0.2,0.2,0.6,0,0,0.444444444,0,0.555555556,0,0,1,0,0,0,0,21,78,1,0,FALSE
61,Old,727,6,NotThePrime,100,14,86,0.14,25,25,25,25,6,3,3,2,0.24,0.12,0.12,0.08,0.68,0.76,0.48,0.48,13,9,2,1,13,10,1,1,7,13,2,3,14,9,1,1,17,19,12,12,8,6,13,13,5,0,2,0,1,3,0,2,0,1,5,2,5,0,1,8,1,3,0,1,0.625,0,0.25,0,0.125,0.5,0,0.333333333,0,0.166666667,0.384615385,0.153846154,0.384615385,0,0.076923077,0.615384615,0.076923077,0.230769231,0,0.076923077,47,41,6,6,FALSE
62,Old,728,6,NotThePrime,100,47,53,0.47,25,25,25,25,8,11,15,13,0.32,0.44,0.6,0.52,0.8,0.8,0.88,0.88,14,11,0,0,14,11,0,0,17,5,1,2,15,9,0,1,20,20,22,22,5,5,3,3,1,0,2,0,2,0,0,4,0,1,1,0,2,0,0,1,0,1,0,1,0.2,0,0.4,0,0.4,0,0,0.8,0,0.2,0.333333333,0,0.666666667,0,0,0.333333333,0,0.333333333,0,0.333333333,60,36,1,3,FALSE
63,Old,729,6,NotThePrime,100,48,52,0.48,25,25,25,25,11,15,11,11,0.44,0.6,0.44,0.44,0.84,0.92,0.88,0.88,16,4,3,2,18,6,1,0,20,3,2,0,15,7,1,2,21,23,22,22,4,2,3,3,3,0,0,0,1,1,0,1,0,0,3,0,0,0,0,1,0,1,0,1,0.75,0,0,0,0.25,0.5,0,0.5,0,0,1,0,0,0,0,0.333333333,0,0.333333333,0,0.333333333,69,20,7,4,FALSE
64,Old,730,6,NotThePrime,100,6,94,0.06,25,25,25,25,2,2,2,0,0.08,0.08,0.08,0,0.36,0.32,0.48,0.48,5,19,0,1,2,23,0,0,3,22,0,0,2,21,0,2,9,8,12,12,16,17,13,13,12,2,2,0,0,11,0,3,1,2,6,1,5,0,1,5,0,7,0,1,0.75,0.125,0.125,0,0,0.647058824,0,0.176470588,0.058823529,0.117647059,0.461538462,0.076923077,0.384615385,0,0.076923077,0.384615385,0,0.538461538,0,0.076923077,12,85,0,3,FALSE
65,Old,731,6,NotThePrime,100,30,70,0.3,25,25,25,25,9,6,9,6,0.36,0.24,0.36,0.24,0.72,0.56,0.76,0.48,14,11,0,0,8,16,1,0,10,11,1,3,12,12,1,0,18,14,19,12,7,11,6,13,4,1,1,0,1,3,1,6,0,1,3,1,2,0,0,10,0,3,0,0,0.571428571,0.142857143,0.142857143,0,0.142857143,0.272727273,0.090909091,0.545454545,0,0.090909091,0.5,0.166666667,0.333333333,0,0,0.769230769,0,0.230769231,0,0,44,50,3,3,FALSE
66,Old,732,6,NotThePrime,100,36,64,0.36,25,25,25,25,9,6,10,11,0.36,0.24,0.4,0.44,0.68,0.72,0.72,0.84,22,2,1,0,17,7,1,0,21,3,1,0,17,8,0,0,17,18,18,21,8,7,7,4,6,0,2,0,0,6,0,0,0,1,1,0,6,0,0,3,0,1,0,0,0.75,0,0.25,0,0,0.857142857,0,0,0,0.142857143,0.142857143,0,0.857142857,0,0,0.75,0,0.25,0,0,77,20,3,0,FALSE
67,Old,733,6,NotThePrime,100,24,76,0.24,25,25,25,25,2,11,6,5,0.08,0.44,0.24,0.2,0.76,0.8,0.8,0.72,5,18,1,1,12,13,0,0,10,14,0,1,7,18,0,0,19,20,20,18,6,5,5,7,4,0,2,0,0,4,0,1,0,0,3,0,2,0,0,5,0,2,0,0,0.666666667,0,0.333333333,0,0,0.8,0,0.2,0,0,0.6,0,0.4,0,0,0.714285714,0,0.285714286,0,0,34,63,1,2,FALSE
68,Old,735,6,NotThePrime,100,29,71,0.29,25,25,25,25,9,8,10,2,0.36,0.32,0.4,0.08,0.68,0.8,0.8,0.68,18,5,2,0,17,7,1,0,12,9,3,1,10,12,1,2,17,20,20,17,8,5,5,8,3,0,3,0,2,2,0,2,0,1,2,0,3,0,0,5,0,3,0,0,0.375,0,0.375,0,0.25,0.4,0,0.4,0,0.2,0.4,0,0.6,0,0,0.625,0,0.375,0,0,57,33,7,3,FALSE
